Date,Max,Min,Avg,Rainfall
1-Jan-2009,29.0,15.0,22.0,-
2-Jan-2009,29.5,14.5,22.0,-
3-Jan-2009,29.0,14.0,21.5,-
4-Jan-2009,29.5,13.5,21.5,-
5-Jan-2009,30.0,14.5,22.3,-
6-Jan-2009,28.0,13.0,20.5,-
7-Jan-2009,29.0,13.5,21.3,-
8-Jan-2009,30.0,14.5,22.3,-
9-Jan-2009,31.0,15.0,23.0,-
10-Jan-2009,29.6,15.5,22.6,-
11-Jan-2009,30.0,15.0,22.5,-
12-Jan-2009,29.5,17.0,23.3,-
13-Jan-2009,29.8,15.5,22.7,-
14-Jan-2009,30.5,14.0,22.3,-
15-Jan-2009,30.0,13.5,21.8,-
16-Jan-2009,29.0,13.5,21.3,-
17-Jan-2009,29.5,15.0,22.3,-
18-Jan-2009,30.0,14.5,22.3,-
19-Jan-2009,30.5,16.0,23.3,-
20-Jan-2009,31.0,17.0,24.0,-
21-Jan-2009,29.0,18.0,23.5,-
22-Jan-2009,29.0,17.0,23.0,-
23-Jan-2009,29.5,15.0,22.3,-
24-Jan-2009,29.0,15.0,22.0,-
25-Jan-2009,29.5,17.0,23.3,-
26-Jan-2009,29.0,17.0,23.0,-
27-Jan-2009,28.8,17.5,23.2,-
28-Jan-2009,30.0,18.0,24.0,-
29-Jan-2009,31.0,19.0,25.0,-
30-Jan-2009,30.5,14.0,22.3,-
31-Jan-2009,29.5,17.5,23.5,-
1-Feb-2009,31.5,17.0,24.3,-
2-Feb-2009,31.5,15.5,23.5,-
3-Feb-2009,29.0,16.0,22.5,-
4-Feb-2009,30.0,15.5,22.8,-
5-Feb-2009,30.5,15.5,23.0,-
6-Feb-2009,31.0,17.5,24.3,-
7-Feb-2009,33.0,16.0,24.5,-
8-Feb-2009,34.0,15.0,24.5,-
9-Feb-2009,34.0,20.0,27.0,-
10-Feb-2009,33.0,17.0,25.0,-
11-Feb-2009,32.0,17.0,24.5,-
12-Feb-2009,34.0,16.0,25.0,-
13-Feb-2009,31.0,19.0,25.0,-
14-Feb-2009,32.0,18.5,25.3,-
15-Feb-2009,32.0,19.0,25.5,-
16-Feb-2009,34.0,18.0,26.0,-
17-Feb-2009,33.0,17.0,25.0,-
18-Feb-2009,34.0,18.0,26.0,-
19-Feb-2009,35.0,18.0,26.5,-
20-Feb-2009,35.0,19.0,27.0,-
21-Feb-2009,35.0,19.5,27.3,-
22-Feb-2009,34.5,17.0,25.8,-
23-Feb-2009,34.0,16.0,25.0,-
24-Feb-2009,34.0,17.0,25.5,-
25-Feb-2009,35.0,20.0,27.5,-
26-Feb-2009,34.0,19.0,26.5,-
27-Feb-2009,34.5,20.5,27.5,-
28-Feb-2009,34.5,21.5,28.0,-
1-Mar-2009,34.5,19.5,27.0,-
2-Mar-2009,34.0,20.0,27.0,-
3-Mar-2009,36.0,19.0,27.5,-
4-Mar-2009,35.0,20.0,27.5,-
5-Mar-2009,33.5,20.5,27.0,-
6-Mar-2009,35.0,21.5,28.3,-
7-Mar-2009,35.0,20.5,27.8,-
8-Mar-2009,35.0,20.5,27.8,-
9-Mar-2009,36.5,21.0,28.8,-
10-Mar-2009,37.5,23.0,30.3,-
11-Mar-2009,37.5,23.0,30.3,-
12-Mar-2009,34.0,22.0,28.0,-
13-Mar-2009,35.0,21.0,28.0,-
14-Mar-2009,36.0,20.0,28.0,-
15-Mar-2009,37.0,21.5,29.3,-
16-Mar-2009,34.0,22.0,28.0,-
17-Mar-2009,33.0,21.0,27.0,-
18-Mar-2009,35.0,21.5,28.3,-
19-Mar-2009,37.0,21.0,29.0,-
20-Mar-2009,35.0,20.0,27.5,-
21-Mar-2009,35.0,19.0,27.0,-
22-Mar-2009,37.0,22.0,29.5,-
23-Mar-2009,35.0,21.0,28.0,-
24-Mar-2009,37.0,22.0,29.5,-
25-Mar-2009,37.0,24.0,30.5,-
26-Mar-2009,37.0,23.0,30.0,-
27-Mar-2009,36.0,22.0,29.0,-
28-Mar-2009,36.0,21.0,28.5,-
29-Mar-2009,36.5,22.0,29.3,-
30-Mar-2009,36.0,24.0,30.0,-
31-Mar-2009,35.0,24.0,29.5,19.0
1-Apr-2009,34.0,19.0,26.5,-
2-Apr-2009,36.0,23.5,29.8,-
3-Apr-2009,35.0,23.0,29.0,-
4-Apr-2009,35.5,23.0,29.3,-
5-Apr-2009,36.0,25.0,30.5,-
6-Apr-2009,37.0,24.0,30.5,-
7-Apr-2009,35.0,24.0,29.5,-
8-Apr-2009,36.0,24.0,30.0,-
9-Apr-2009,37.0,24.5,30.8,-
10-Apr-2009,37.0,25.0,31.0,-
11-Apr-2009,36.5,24.0,30.3,-
12-Apr-2009,37.5,24.0,30.8,-
13-Apr-2009,37.5,23.5,30.5,-
14-Apr-2009,39.0,25.0,32.0,-
15-Apr-2009,39.0,25.0,32.0,-
